mobileid,customerid,appuserid,deviceid,registereddate,status
1,46,user1001,cc9fd334-9bd,2020-04-17,Active
2,36,user1002,4f8d5238-288,2024-05-21,Inactive
3,37,user1003,687213f9-8d6,2023-09-06,Inactive
4,48,user1004,d7665cda-fe0,2024-12-26,Active
5,57,user1005,f27292b6-762,2023-09-27,Active
6,34,user1006,276aa6ce-d50,2020-03-12,Active
7,25,user1007,4ab7706e-b77,2020-08-18,Active
8,43,user1008,6a5d932b-45f,2019-08-20,Active
9,18,user1009,78e3654b-faf,2020-10-21,Active
10,44,user1010,25074181-8d1,2021-10-23,Active
11,54,user1011,9970cf60-ebf,2019-09-12,Inactive
12,51,user1012,22f235f2-e11,2022-04-23,Active
13,49,user1013,c5ce099c-46b,2025-01-25,Active
14,23,user1014,57021049-6a3,2024-01-28,Active
15,40,user1015,44656d6b-81f,2025-04-20,Active
16,48,user1016,b9de7a3a-486,2025-04-17,Active
17,16,user1017,9475dbc9-964,2024-09-23,Inactive
18,19,user1018,dd81b7f5-7d5,2019-07-12,Active
19,25,user1019,7bfdcc12-89e,2023-09-03,Inactive
20,21,user1020,c34b9fbb-8d4,2025-03-11,Active
21,1,user1021,eecf67d2-749,2021-10-26,Active
22,40,user1022,fb140bc3-304,2023-12-20,Active
23,59,user1023,620a60ac-926,2023-02-15,Inactive
24,35,user1024,69288e92-c68,2025-10-07,Active
25,50,user1025,7914f8a8-bea,2021-03-03,Active
26,29,user1026,61985d54-cfb,2020-12-27,Inactive
27,5,user1027,cada4f80-a9e,2021-02-04,Active
28,48,user1028,26f05fcf-fb1,2024-10-05,Active
29,25,user1029,2051acef-097,2019-06-16,Active
30,18,user1030,54fd9ad3-971,2025-03-29,Active
31,9,user1031,d85480f0-dfc,2020-10-21,Inactive
32,55,user1032,e912b4bf-86a,2021-11-10,Active
33,22,user1033,24e75e8e-b8f,2024-03-25,Inactive
34,60,user1034,f84f16b3-a79,2020-09-26,Active
35,10,user1035,c8120a8e-783,2022-08-14,Inactive
36,4,user1036,9f8ded97-56a,2025-11-26,Inactive
37,20,user1037,148f8b74-a65,2024-07-02,Inactive
38,36,user1038,aca2b148-da3,2023-01-06,Active
39,51,user1039,f4427e0b-614,2022-07-25,Inactive
40,15,user1040,e32f2e63-b7f,2021-01-23,Inactive
41,5,user1041,8a80068d-df5,2024-08-31,Active
42,27,user1042,3c19e71d-118,2025-02-02,Inactive
43,26,user1043,4991ab9b-ebc,2020-01-12,Active
44,15,user1044,1723199d-bf2,2021-05-23,Inactive
45,22,user1045,c2a79689-193,2022-09-18,Active
