"datekey","fulldate","day","dayname","week","month","monthname","quarter","year","isweekend","isholiday"
20230106,"2023-01-06",6,"Friday",1,1,"January",1,2023,False,False
20230108,"2023-01-08",8,"Sunday",1,1,"January",1,2023,True,False
20230114,"2023-01-14",14,"Saturday",2,1,"January",1,2023,True,False
20230124,"2023-01-24",24,"Tuesday",4,1,"January",1,2023,False,False
20230129,"2023-01-29",29,"Sunday",4,1,"January",1,2023,True,False
20230214,"2023-02-14",14,"Tuesday",7,2,"February",1,2023,False,False
20230217,"2023-02-17",17,"Friday",7,2,"February",1,2023,False,False
20230225,"2023-02-25",25,"Saturday",8,2,"February",1,2023,True,False
20230227,"2023-02-27",27,"Monday",9,2,"February",1,2023,False,False
20230304,"2023-03-04",4,"Saturday",9,3,"March",1,2023,True,False
20230308,"2023-03-08",8,"Wednesday",10,3,"March",1,2023,False,False
20230309,"2023-03-09",9,"Thursday",10,3,"March",1,2023,False,False
20230317,"2023-03-17",17,"Friday",11,3,"March",1,2023,False,False
20230322,"2023-03-22",22,"Wednesday",12,3,"March",1,2023,False,False
20230324,"2023-03-24",24,"Friday",12,3,"March",1,2023,False,False
20230405,"2023-04-05",5,"Wednesday",14,4,"April",2,2023,False,False
20230414,"2023-04-14",14,"Friday",15,4,"April",2,2023,False,False
20230424,"2023-04-24",24,"Monday",17,4,"April",2,2023,False,False
20230501,"2023-05-01",1,"Monday",18,5,"May",2,2023,False,False
20230511,"2023-05-11",11,"Thursday",19,5,"May",2,2023,False,False
20230520,"2023-05-20",20,"Saturday",20,5,"May",2,2023,True,False
20230526,"2023-05-26",26,"Friday",21,5,"May",2,2023,False,False
20230529,"2023-05-29",29,"Monday",22,5,"May",2,2023,False,False
20230531,"2023-05-31",31,"Wednesday",22,5,"May",2,2023,False,False
20230603,"2023-06-03",3,"Saturday",22,6,"June",2,2023,True,False
20230607,"2023-06-07",7,"Wednesday",23,6,"June",2,2023,False,False
20230609,"2023-06-09",9,"Friday",23,6,"June",2,2023,False,False
20230616,"2023-06-16",16,"Friday",24,6,"June",2,2023,False,False
20230619,"2023-06-19",19,"Monday",25,6,"June",2,2023,False,False
20230627,"2023-06-27",27,"Tuesday",26,6,"June",2,2023,False,False
