"loankey","loanid","loantype","amountrange","interestrate","termmonths","status"
1,1,"Home","High","17.58",60,"Active"
2,2,"Car","High","6.01",12,"Closed"
3,3,"Home","High","8.45",24,"Active"
4,4,"Personal","Low","10.70",36,"Closed"
5,5,"Home","High","6.32",48,"Closed"
6,6,"Personal","High","5.43",24,"Active"
7,7,"Home","Medium","9.88",36,"Defaulted"
8,8,"Home","High","12.98",60,"Closed"
9,9,"Business","Medium","6.32",48,"Active"
10,10,"Home","High","8.87",48,"Active"
11,11,"Business","Medium","9.69",48,"Closed"
12,12,"Business","High","5.33",36,"Active"
13,13,"Home","High","11.12",12,"Defaulted"
14,14,"Business","High","16.51",12,"Closed"
15,15,"Business","High","7.94",48,"Closed"
16,16,"Personal","Medium","9.47",12,"Defaulted"
17,17,"Personal","High","15.64",60,"Closed"
18,18,"Business","High","10.13",48,"Defaulted"
19,19,"Car","Medium","14.84",60,"Active"
20,20,"Car","Low","6.02",24,"Defaulted"
21,21,"Car","High","8.35",24,"Defaulted"
22,22,"Business","High","16.14",12,"Defaulted"
23,23,"Business","Medium","6.95",12,"Defaulted"
24,24,"Personal","High","6.31",60,"Closed"
25,25,"Home","High","11.31",36,"Defaulted"
26,26,"Business","Medium","12.91",12,"Defaulted"
27,27,"Car","Low","11.18",12,"Closed"
28,28,"Home","High","11.39",12,"Defaulted"
29,29,"Business","High","9.17",24,"Defaulted"
30,30,"Car","High","16.87",60,"Closed"
