transactionid,accountid,atmid,employeeid,transactiondate,transactiontype,amount,channel,status,isfraud
1,46,6,15,2025-06-09,Transfer,31991.49,Online,Success,0
2,66,11,21,2023-11-24,Deposit,7181.83,ATM,Pending,0
3,47,1,5,2025-01-11,Payment,47475.88,Online,Success,0
4,48,3,22,2025-01-31,Payment,38166.07,POS,Pending,0
5,36,9,12,2024-05-26,Deposit,1344.37,Mobile App,Success,0
6,16,9,13,2024-06-20,Transfer,35216.69,Online,Success,0
7,63,5,23,2024-02-14,Deposit,6829.63,POS,Success,0
8,12,3,23,2024-10-16,Transfer,35491.55,Online,Pending,0
9,23,5,10,2025-01-10,POS Purchase,11250.87,POS,Success,0
10,71,4,16,2025-01-25,Payment,40192.9,Mobile App,Pending,1
11,51,10,3,2025-09-07,POS Purchase,20569.22,Mobile App,Failed,0
12,10,2,5,2025-07-10,Payment,34021.44,POS,Success,0
13,76,15,25,2024-01-08,Withdrawal,21659.28,Mobile App,Success,0
14,21,9,5,2024-10-22,Withdrawal,17333.85,ATM,Pending,0
15,71,14,3,2024-07-16,Withdrawal,31269.87,Branch,Pending,0
16,76,2,17,2023-11-12,Withdrawal,32953.71,POS,Pending,0
17,4,14,19,2023-06-16,Deposit,47429.92,Branch,Pending,0
18,54,11,7,2023-03-04,Payment,44455.39,Branch,Pending,0
19,52,11,10,2024-09-01,Payment,3695.0,Branch,Success,0
20,27,8,14,2024-11-27,POS Purchase,7226.25,Mobile App,Success,0
21,66,7,5,2023-08-06,Transfer,12124.81,Branch,Success,0
22,7,8,8,2024-08-17,Payment,43214.98,Branch,Failed,0
23,74,14,6,2024-10-02,Withdrawal,38167.91,Mobile App,Failed,0
24,64,8,16,2023-02-17,Deposit,47264.38,POS,Pending,0
25,7,4,7,2023-04-14,Transfer,24769.97,Online,Failed,0
26,56,9,1,2023-10-02,Transfer,36389.03,Branch,Failed,0
27,72,1,13,2024-02-03,Transfer,27683.49,Branch,Success,0
28,36,9,15,2023-09-01,Withdrawal,48755.39,Online,Failed,0
29,47,13,11,2023-10-23,Withdrawal,30143.02,Branch,Failed,0
30,43,1,2,2025-08-28,POS Purchase,22876.58,POS,Pending,0
31,41,3,11,2023-11-29,Payment,49531.26,POS,Success,0
32,69,6,17,2025-09-30,POS Purchase,15024.54,POS,Success,0
33,54,6,22,2024-09-22,Deposit,29865.64,Branch,Success,0
34,75,10,8,2025-09-10,Withdrawal,26235.41,POS,Pending,0
35,74,3,22,2023-08-14,Withdrawal,995.92,Online,Success,0
36,53,3,14,2025-10-24,POS Purchase,46030.02,Online,Success,0
