"transactionkey","datekey","customerkey","branchkey","accountkey","employeekey","loankey","transactioncount","transactionamount","depositamount","withdrawalamount","transferamount","loandisbursementamount","loanrepaymentamount","interestamount","feeamount","fraudamount"
1,20250609,9,2,46,15,NULL,1,"31991.49","0.00","0.00","31991.49","0.00","0.00","0.00","0.00","0.00"
2,20231124,34,7,66,21,NULL,1,"7181.83","7181.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
3,20250111,53,3,47,5,NULL,1,"47475.88","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
4,20250131,24,1,48,22,NULL,1,"38166.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
5,20240526,30,8,36,12,NULL,1,"1344.37","1344.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
6,20240620,44,2,16,13,NULL,1,"35216.69","0.00","0.00","35216.69","0.00","0.00","0.00","0.00","0.00"
7,20240214,51,3,63,23,NULL,1,"6829.63","6829.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
8,20241016,37,7,12,23,NULL,1,"35491.55","0.00","0.00","35491.55","0.00","0.00","0.00","0.00","0.00"
9,20250110,33,6,23,10,NULL,1,"11250.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
10,20250125,34,6,71,16,NULL,1,"40192.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","40192.90"
11,20250907,3,6,51,3,NULL,1,"20569.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
12,20250710,50,1,10,5,NULL,1,"34021.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
13,20240108,52,3,76,25,NULL,1,"21659.28","0.00","21659.28","0.00","0.00","0.00","0.00","0.00","0.00"
14,20241022,49,5,21,5,NULL,1,"17333.85","0.00","17333.85","0.00","0.00","0.00","0.00","0.00","0.00"
15,20240716,34,6,71,3,NULL,1,"31269.87","0.00","31269.87","0.00","0.00","0.00","0.00","0.00","0.00"
16,20231112,52,3,76,17,NULL,1,"32953.71","0.00","32953.71","0.00","0.00","0.00","0.00","0.00","0.00"
17,20230616,6,7,4,19,NULL,1,"47429.92","47429.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
18,20230304,52,8,54,7,NULL,1,"44455.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
19,20240901,12,3,52,10,NULL,1,"3695.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
20,20241127,30,6,27,14,NULL,1,"7226.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
21,20230806,34,7,66,5,NULL,1,"12124.81","0.00","0.00","12124.81","0.00","0.00","0.00","0.00","0.00"
22,20240817,23,2,7,8,NULL,1,"43214.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
23,20241002,16,2,74,6,NULL,1,"38167.91","0.00","38167.91","0.00","0.00","0.00","0.00","0.00","0.00"
24,20230217,45,3,64,16,NULL,1,"47264.38","47264.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
25,20230414,23,2,7,7,NULL,1,"24769.97","0.00","0.00","24769.97","0.00","0.00","0.00","0.00","0.00"
26,20231002,27,3,56,1,NULL,1,"36389.03","0.00","0.00","36389.03","0.00","0.00","0.00","0.00","0.00"
27,20240203,51,1,72,13,NULL,1,"27683.49","0.00","0.00","27683.49","0.00","0.00","0.00","0.00","0.00"
28,20230901,30,8,36,15,NULL,1,"48755.39","0.00","48755.39","0.00","0.00","0.00","0.00","0.00","0.00"
29,20231023,53,3,47,11,NULL,1,"30143.02","0.00","30143.02","0.00","0.00","0.00","0.00","0.00","0.00"
30,20250828,5,6,43,2,NULL,1,"22876.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
31,20231129,29,3,41,11,NULL,1,"49531.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
32,20250930,35,1,69,17,NULL,1,"15024.54","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
33,20240922,52,8,54,22,NULL,1,"29865.64","29865.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
34,20250910,22,3,75,8,NULL,1,"26235.41","0.00","26235.41","0.00","0.00","0.00","0.00","0.00","0.00"
35,20230814,16,2,74,22,NULL,1,"995.92","0.00","995.92","0.00","0.00","0.00","0.00","0.00","0.00"
36,20251024,29,5,53,14,NULL,1,"46030.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
37,20251212,15,1,62,7,NULL,1,"15721.94","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
