"loanid","customerid","employeeid","loantype","amount","interestrate","termmonths","enddate","status"
1,3,6,"Home",461308.73,17.58,60,"2027-04-27","Active"
2,60,16,"Car",172272.53,6.01,12,"2025-04-30","Closed"
3,41,3,"Home",228848.67,8.45,24,"2023-07-22","Active"
4,17,4,"Personal",33592.25,10.70,36,"2021-09-19","Closed"
5,32,13,"Home",277551.74,6.32,48,"2023-10-23","Closed"
6,11,15,"Personal",401605.34,5.43,24,"2026-06-15","Active"
7,7,3,"Home",93351.55,9.88,36,"2024-07-13","Defaulted"
8,58,3,"Home",301074.97,12.98,60,"2023-10-09","Closed"
9,42,6,"Business",86980.85,6.32,48,"2022-04-16","Active"
10,45,18,"Home",333692.97,8.87,48,"2024-01-28","Active"
11,37,18,"Business",85259.07,9.69,48,"2022-07-02","Closed"
12,53,22,"Business",107840.65,5.33,36,"2021-12-09","Active"
13,31,4,"Home",394589.52,11.12,12,"2022-04-05","Defaulted"
14,42,18,"Business",100591.80,16.51,12,"2021-12-16","Closed"
15,3,9,"Business",237878.40,7.94,48,"2024-01-14","Closed"
16,10,25,"Personal",51996.58,9.47,12,"2025-04-25","Defaulted"
17,15,18,"Personal",421990.61,15.64,60,"2027-07-28","Closed"
18,37,8,"Business",156437.53,10.13,48,"2027-12-13","Defaulted"
19,37,17,"Car",68938.12,14.84,60,"2023-04-27","Active"
20,52,7,"Car",30911.19,6.02,24,"2021-11-05","Defaulted"
21,53,21,"Car",418712.98,8.35,24,"2024-11-08","Defaulted"
22,25,18,"Business",280506.55,16.14,12,"2019-09-27","Defaulted"
23,51,23,"Business",65134.23,6.95,12,"2024-02-15","Defaulted"
24,49,4,"Personal",285715.04,6.31,60,"2029-07-10","Closed"
25,57,14,"Home",197691.30,11.31,36,"2026-12-18","Defaulted"
26,12,9,"Business",80487.81,12.91,12,"2024-04-16","Defaulted"
27,26,11,"Car",34152.58,11.18,12,"2023-06-29","Closed"
28,22,10,"Home",147369.86,11.39,12,"2023-03-01","Defaulted"
29,9,10,"Business",389275.14,9.17,24,"2021-01-27","Defaulted"
30,42,3,"Car",226441.13,16.87,60,"2027-08-09","Closed"
