"atmid","branchid","location","status"
1,7,"3524 Jean Crossroad","Out of Service"
2,8,"08427 Monique Ports Suite 777","Active"
3,6,"04711 Vasquez Ports Apt. 229","Active"
4,8,"31869 Kimberly Light Suite 749","Out of Service"
5,8,"9909 Stacey Fords Apt. 412","Active"
6,5,"81206 Norris Mountains","Active"
7,7,"34471 Sandra Turnpike Apt. 618","Active"
8,7,"242 Brian Turnpike","Out of Service"
9,3,"947 Taylor Hollow Suite 488","Out of Service"
10,5,"1906 Munoz Burg Apt. 399","Active"
11,2,"490 Thomas Run","Active"
12,6,"2967 Theodore Lodge Suite 512","Out of Service"
13,5,"7468 Shawn Island Suite 516","Active"
14,8,"876 Jacob Lake","Out of Service"
15,7,"703 Dunn Heights Suite 710","Active"
